station,pCO2w,Temp,Sal
St. 1-1,555.72,2.8,33.1
St. 1-2,492.15,2.1,33.89
St. 1-3,377.95,2,33.99
St. 1-4,330.42,2.1,33.98
St. 1-5,326.61,2.2,34
St. 1-6,341.92,2.2,33.99
St. 1-7,340.79,2.6,34.01
St. 1-8,110.32,2.2,34.5
St. 1-9,298.92,2.1,34.03
St. 1-10,317.84,2,34.03
St. 1-11,322.46,2.5,34
St. 1-12,308.2,1.9,34
St. 1-13,312.89,2,34
St. 1-14,424.09,2.5,33.92
St. 1-15,905.58,4.4,25.45
St. 1-16,458.76,2.6,33.9
St. 1-17,398.16,2.4,33.95
St. 1-18,326.04,2.1,34.05
St. 1-19,308.06,2,34.03
St. 1-20,295.67,2.3,33.96
